epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.81,0.95831,2.47902,1.4515,0.51002,0.61409,0.66067,0.4603,1.05133,2.07668,1.95964,0.000410798,0.000410798,0.000410798
2,36.2199,0.96681,1.69585,1.41955,0.54296,0.66314,0.65503,0.42633,1.25624,2.10884,2.07991,0.000819273,0.000819273,0.000819273
3,46.8447,0.98807,1.47255,1.44005,0.57623,0.79365,0.79023,0.52364,1.10909,1.57393,1.79238,0.0012195,0.0012195,0.0012195
4,57.7652,0.97132,1.34041,1.40421,0.62517,0.74601,0.73409,0.5208,1.0605,1.56475,1.7652,0.00121287,0.00121287,0.00121287
5,69.1923,0.9846,1.25908,1.40839,0.66621,0.65229,0.69033,0.47386,1.13307,1.8035,1.82545,0.0012005,0.0012005,0.0012005
6,79.7291,0.90481,1.13143,1.35966,0.7309,0.49246,0.6044,0.41815,1.10484,2.09196,1.82287,0.00118812,0.00118812,0.00118812
7,90.2562,0.90596,1.05553,1.35034,0.85788,0.76522,0.87234,0.6491,0.97217,0.96927,1.59738,0.00117575,0.00117575,0.00117575
8,100.571,0.8715,0.99637,1.32959,0.79636,0.82666,0.89098,0.66407,0.97136,0.91197,1.64956,0.00116337,0.00116337,0.00116337
9,110.737,0.90221,0.99901,1.35236,0.69757,0.8424,0.8878,0.67066,0.96026,0.87527,1.62393,0.001151,0.001151,0.001151
10,121.011,0.88795,0.95822,1.32897,0.77499,0.78049,0.85915,0.58997,1.04117,1.05611,1.63832,0.00113863,0.00113863,0.00113863
11,131.495,0.86948,0.91477,1.32568,0.66091,0.72896,0.8534,0.63618,0.95169,1.09636,1.60155,0.00112625,0.00112625,0.00112625
12,141.86,0.87242,0.88969,1.3182,0.76901,0.81391,0.8835,0.65682,0.99104,0.83766,1.61613,0.00111388,0.00111388,0.00111388
13,151.942,0.86605,0.86226,1.31902,0.74367,0.66953,0.82314,0.59879,1.01341,1.1955,1.65851,0.0011015,0.0011015,0.0011015
14,162.604,0.85074,0.83803,1.3054,0.90361,0.83387,0.91227,0.70485,0.93744,0.73768,1.56416,0.00108913,0.00108913,0.00108913
15,172.931,0.8423,0.83058,1.3026,0.82042,0.87549,0.90762,0.64687,1.01603,0.81102,1.69605,0.00107675,0.00107675,0.00107675
16,183.008,0.85399,0.81079,1.30383,0.88636,0.70845,0.85934,0.65353,0.9653,0.86936,1.58991,0.00106437,0.00106437,0.00106437
17,193.189,0.83772,0.78413,1.29676,0.87106,0.79521,0.91139,0.7007,0.93779,0.73742,1.60167,0.001052,0.001052,0.001052
18,203.18,0.82582,0.77811,1.28678,0.82088,0.83963,0.8868,0.68133,0.92669,0.77188,1.55409,0.00103962,0.00103962,0.00103962
19,213.34,0.8003,0.74578,1.27088,0.91538,0.77716,0.8997,0.69527,0.94931,0.77085,1.58811,0.00102725,0.00102725,0.00102725
20,224.506,0.78949,0.73018,1.25873,0.80951,0.83655,0.90693,0.71144,0.90628,0.78177,1.52144,0.00101488,0.00101488,0.00101488
21,236.249,0.81077,0.75642,1.287,0.77352,0.7948,0.8753,0.67408,0.86784,0.86175,1.51771,0.0010025,0.0010025,0.0010025
22,248.076,0.77514,0.69842,1.2629,0.83868,0.81339,0.88605,0.66358,0.96733,0.83801,1.60637,0.000990125,0.000990125,0.000990125
23,258.371,0.78922,0.6704,1.25938,0.76961,0.89065,0.89014,0.67604,0.92756,0.76895,1.58501,0.00097775,0.00097775,0.00097775
24,268.901,0.78536,0.68327,1.26156,0.89664,0.83764,0.93456,0.72529,0.90258,0.65171,1.523,0.000965375,0.000965375,0.000965375
25,279.176,0.78845,0.68855,1.2588,0.88245,0.84041,0.90941,0.71368,0.87399,0.67942,1.49402,0.000953,0.000953,0.000953
26,289.65,0.77298,0.68302,1.25178,0.85618,0.85256,0.91814,0.69818,0.94046,0.73156,1.59884,0.000940625,0.000940625,0.000940625
27,300.299,0.76702,0.63823,1.24538,0.85418,0.85114,0.91512,0.70077,0.90881,0.68111,1.54222,0.00092825,0.00092825,0.00092825
28,310.62,0.76231,0.63832,1.23649,0.9127,0.86918,0.95198,0.74261,0.88634,0.57686,1.51948,0.000915875,0.000915875,0.000915875
29,320.86,0.76273,0.64396,1.25319,0.83482,0.89827,0.93099,0.72684,0.88864,0.69198,1.52421,0.0009035,0.0009035,0.0009035
30,331.13,0.73089,0.64907,1.225,0.87053,0.79423,0.91236,0.71445,0.89146,0.72105,1.58279,0.000891125,0.000891125,0.000891125
31,341.54,0.7629,0.64615,1.23252,0.76218,0.86584,0.90745,0.69414,0.88098,0.77572,1.50957,0.00087875,0.00087875,0.00087875
32,351.821,0.73796,0.59834,1.22815,0.77244,0.86115,0.92362,0.73941,0.86424,0.72827,1.49986,0.000866375,0.000866375,0.000866375
33,362.06,0.75914,0.61286,1.23447,0.79767,0.86807,0.93292,0.73383,0.88923,0.70586,1.52638,0.000854,0.000854,0.000854
34,372.306,0.73271,0.6028,1.21385,0.86066,0.87804,0.91708,0.72294,0.86232,0.69125,1.48779,0.000841625,0.000841625,0.000841625
35,382.53,0.72076,0.59518,1.21267,0.84943,0.86889,0.93028,0.71982,0.87063,0.64217,1.48829,0.00082925,0.00082925,0.00082925
36,392.692,0.73923,0.60895,1.22073,0.89858,0.80602,0.92081,0.71259,0.89973,0.72571,1.50892,0.000816875,0.000816875,0.000816875
37,402.882,0.73347,0.57379,1.21115,0.83361,0.91844,0.91482,0.72247,0.88435,0.6723,1.50252,0.0008045,0.0008045,0.0008045
38,412.892,0.72115,0.58027,1.21121,0.86732,0.90176,0.94714,0.73846,0.91333,0.65539,1.56233,0.000792125,0.000792125,0.000792125
39,423.035,0.7234,0.57622,1.20164,0.84078,0.85548,0.91301,0.73101,0.84786,0.66539,1.46035,0.00077975,0.00077975,0.00077975
40,433.56,0.72019,0.57622,1.21861,0.88712,0.84682,0.91179,0.71888,0.87425,0.6306,1.50897,0.000767375,0.000767375,0.000767375
41,444.07,0.71911,0.60321,1.20437,0.8136,0.8149,0.90117,0.71147,0.88515,0.7916,1.52364,0.000755,0.000755,0.000755
42,454.385,0.70673,0.5676,1.1973,0.89021,0.90661,0.94294,0.74005,0.88264,0.58697,1.477,0.000742625,0.000742625,0.000742625
43,464.685,0.70772,0.56513,1.19618,0.76771,0.88258,0.91093,0.70732,0.92618,0.83318,1.53591,0.00073025,0.00073025,0.00073025
44,475.262,0.69718,0.53279,1.18391,0.8823,0.74781,0.89185,0.7061,0.8867,0.69846,1.49974,0.000717875,0.000717875,0.000717875
45,485.547,0.69281,0.53471,1.1934,0.87,0.87983,0.91782,0.72219,0.89297,0.63001,1.53597,0.0007055,0.0007055,0.0007055
46,495.818,0.66092,0.51578,1.1717,0.83382,0.87755,0.9089,0.7018,0.90798,0.66925,1.55276,0.000693125,0.000693125,0.000693125
